,title,price,imageCount,link
0,Toyota Camry 2010 Red,"₦ 1,500,000",7,https://jiji.ng/kubwa/cars/toyota-camry-2010-red-jTBB5jG5Zfnl2wBqYANiIxkE.html
1,Lexus RX 350 2018 Blue,"₦ 20,500,000",7,https://jiji.ng/ajah/cars/lexus-rx-350-2018-blue-fE7Gtuby6ssgltcJRdsYhbRg.html
2,Lexus GX 460 Luxury 2016 Black,"₦ 27,000,000",16,https://jiji.ng/ojodu/cars/lexus-gx-460-luxury-2016-black-7RYAWmKDjnelBA19tCtfIDcu.html
3,Acura ZDX Base AWD 2011 Black,"₦ 4,500,000",11,https://jiji.ng/lugbe/cars/acura-zdx-base-awd-2011-black-8Z0A8yV6ks3lIjZKw9cENHtV.html
4,Mercedes-Benz GLA 250 2019 Gray,"₦ 18,700,000",11,https://jiji.ng/magodo/cars/mercedes-benz-gla-250-2019-gray-Clut5ZOdbCOnM46hG8Plo0t8.html
5,Toyota Camry 2010,"₦ 1,800,000",9,https://jiji.ng/oredo/cars/toyota-camry-2010-fy8z3jvXxwSxLdFeKaxSdvwL.html
6,Lexus ES 330 2006 Silver,"₦ 2,599,999",11,https://jiji.ng/lagos-abule-egba/cars/lexus-es-330-2006-silver-rq6Ld4Lqf78BWOd3ldIweVzi.html
7,Toyota RAV4 2001 Black,"₦ 1,600,000",15,https://jiji.ng/oluyole/cars/toyota-rav4-2001-black-mkgVzxtVoKFS1OO36ESE7VIx.html
8,Land Rover Range Rover Evoque 2014 Red,"₦ 5,000,000",5,https://jiji.ng/lekki/cars/land-rover-range-rover-evoque-2014-red-oTrkX4jZiMK48oOFSPVUjCli.html
9,Lexus GX 470 Sport Utility 2006 Black,"₦ 9,800,000",11,https://jiji.ng/ojodu/cars/lexus-gx-470-sport-utility-2006-black-OuSeiHfOZdQTejl0RUetcOt.html
10,Nissan Almera 2010 Gray,"₦ 1,280,000",8,https://jiji.ng/lagos-abule-egba/cars/nissan-almera-2010-gray-mPFmAi3KsWRd4AYPiFNTBI4m.html
11,Mitsubishi Pajero 3.2 Di-Dc GLS 2012 Black,"₦ 3,500,000",12,https://jiji.ng/surulere/cars/mitsubishi-pajero-3-2-di-dc-gls-2012-black-bcTMnu74658Yx9ow8e5QVpDy.html
12,Honda Accord 2009 Gray,"₦ 2,000,000",8,https://jiji.ng/gbagada/cars/honda-accord-2009-gray-wvpsUHPgDwYHYT5y5zO1MjvS.html
13,Acura MDX 2008 Black,"₦ 2,100,000",11,https://jiji.ng/port-harcourt/cars/acura-mdx-2008-black-uuBAVnnqWhxCOah5oF9oPRvO.html
14,Lexus RX 350 2011 White,"₦ 7,700,000",13,https://jiji.ng/ogba/cars/lexus-rx-350-2011-white-m8Bjh8TRgcC2asoaDqvS5c0T.html
15,Hyundai I10 2008 Gold,"₦ 1,400,000",8,https://jiji.ng/jahi/cars/hyundai-i10-2008-gold-CawydSpcjCUuuzdrzQhxYZNC.html
16,Toyota Corolla 2004 Silver,"₦ 1,850,000",6,https://jiji.ng/lagos-abule-egba/cars/toyota-corolla-2004-silver-rBCBN7wFJb3trzmTkxlk5gBo.html
17,Mercedes-Benz M Class 2015 Black,"₦ 10,950,000",5,https://jiji.ng/ikeja/cars/mercedes-benz-m-class-2015-black-6gh9uhzgDcFhOC0qCgMKp2X7.html
18,Chevrolet Aveo 2007 Red,"₦ 1,000,000",19,https://jiji.ng/isolo/cars/chevrolet-aveo-2007-red-5J5ylo1SXlQgWzGnKAGuf3RC.html
19,Ford Edge 2017 Silver,"₦ 7,000,000",5,https://jiji.ng/gwarinpa/cars/ford-edge-2017-silver-wHGLOmOXcx4NtKzMcLtuJThj.html
20,Mercedes-Benz C300 2016 Black,"₦ 16,500,000",9,https://jiji.ng/asokoro/cars/mercedes-benz-c300-2016-black-8xOMTptwWctMfsvZOcsHiI1E.html
